Codigo_Mat;Material;Grupo ;Ing1;Ing2;Ing3;Almacen;Total;Unidad_Med
1000000;"TUBERIA PVC RDE 13.5 PSI315 1/2"" E.LISO";1000;0;0;0;0;0;M
1000001;"TUBERIA PVC RDE 21 PSI200 3/4"" E.LISO";1000;0;0;0;0;0;M
1000002;"TUBERIA PVC RDE 21 PSI200 1"" E.LISO";1000;0;0;0;0;0;M
1000003;"TUBERIA PVC RDE 21 PSI200 1.1/4"" E. LISO";1000;0;0;0;0;0;M
1000004;"TUBERIA PVC RDE 21 PSI200 1.1/2"" E. LISO";1000;0;0;0;0;0;M
1000005;"TUBERIA PVC RDE 21 PSI200 2""E. LISO";1000;0;0;0;0;0;M
1000006;"TUBERIA PVC RDE 21 PSI 200 2.1/2"" E.LISO";1000;0;0;0;0;0;M
1000007;"TUBERIA PVC RDE 21 PSI 200 3"" E. LISO";1000;0;0;0;0;0;M
1000008;"TUBERIA PVC RDE 21 PSI 200 4"" E. LISO";1000;0;0;0;0;0;M
1000009;"TUBERIA PVC UNION PLATINO 6"" RDE 21 UZ";1000;0;0;0;0;0;M
1000010;"TUBERIA PVC UNION PLATINO 8"" RDE 21 UZ";1000;0;0;0;0;0;M
1000011;"TUBERIA PVC UNION PLATINO 10"" RDE 21 UZ";1000;0;0;0;0;0;M
1000012;"TUBERIA PVC UNION PLATINO 12"" RDE 21 UZ";1000;0;0;0;0;0;M
1000013;"TUBERIA PVC UNION PLATINO 14"" RDE 21 UZ";1000;0;0;0;0;0;M
1000014;"TUBERIA PVC UNION PLATINO 16"" RDE 21 UZ";1000;0;0;0;0;0;M
1000015;"TUBERIA PVC UNION PLATINO 18"" RDE 21 UZ";1000;0;0;0;0;0;M
1000016;"TUBERIA PVC UNION PLATINO 20"" RDE 21 UZ";1000;0;0;0;0;0;M
1000017;"TUBERIA PVC UNION PLATINO 24"" RDE 21 UZ";1000;0;0;0;0;0;M
1000018;"TEE PVC DE 1/2""";1300;0;0;0;0;0;UN
1000019;"TEE PVC DE 3/4""";1300;0;0;0;0;0;UN
1000020;"TEE PVC DE 1""";1300;0;0;0;0;0;UN
1000021;"TEE PVC DE 1.1/4""";1300;0;0;0;0;0;UN
1000022;"TEE PVC DE 1.1/2""";1300;0;0;0;0;0;UN
1000023;"TEE PVC DE 2""";1300;0;0;0;0;0;UN
1000024;"TEE PVC DE 2.1/2""";1300;0;0;0;0;0;UN
1000025;"TEE PVC DE 3""";1300;0;0;0;0;0;UN
1000026;"TEE PVC DE 4""";1300;0;0;0;0;0;UN
1000027;"CODO PVC DE 1/2"" X 90 ";1300;0;0;0;0;0;UN
1000028;"CODO PVC DE 3/4"" X 90 ";1300;0;0;0;0;0;UN
1000029;"CODO PVC DE 1"" X 90 ";1300;0;0;0;0;0;UN
1000030;"CODO PVC DE 1.1/4"" X 90 ";1300;0;0;0;0;0;UN
1000031;"CODO PVC DE 1.1/2"" X 90 ";1300;0;0;0;0;0;UN
1000032;"CODO PVC DE 2"" X 90 ";1300;0;0;0;0;0;UN
1000033;"CODO PVC DE 2.1/2"" X 90 ";1300;0;0;0;0;0;UN
1000034;"CODO PVC DE 3"" X 90 ";1300;0;0;0;0;0;UN
1000035;"CODO PVC DE 4"" X 90 ";1300;0;0;0;0;0;UN
1000036;"CODO PVC DE 1/2"" X 45 ";1300;0;0;0;0;0;UN
1000037;"CODO PVC DE 3/4""  X 45 ";1300;0;0;0;0;0;UN
1000038;"CODO PVC DE 1""  X 45 ";1300;0;0;0;0;0;UN
1000039;"CODO PVC DE 1.1/4""  X 45 ";1300;0;0;0;0;0;UN
1000040;"CODO PVC DE 1.1/2""  X 45 ";1300;0;0;0;0;0;UN
